filename,idea,dataset_name,dataset_description
-Closure_Structure_for_Studying_Data_Distribution.pdf,论文提出Δ-closure结构，用于研究二值数据集中闭合项集的分布和稳定性。通过引入Δ参数，扩展了传统的闭包操作符，使得能够量化闭合项集与其上邻之间的差异，并通过Δ等价类刻画数据的内在结构。实验表明，Δ较大的Δ等价类更加稳定，且该结构对数据采样不敏感，有助于发现对噪声和数据变化鲁棒的模式。,adult,"一个包含48,842个对象和95个属性的二值化数据集，源自美国人口普查数据，常用于分类和频繁模式挖掘任务。"
-Closure_Structure_for_Studying_Data_Distribution.pdf,论文提出Δ-closure结构，用于研究二值数据集中闭合项集的分布和稳定性。通过引入Δ参数，扩展了传统的闭包操作符，使得能够量化闭合项集与其上邻之间的差异，并通过Δ等价类刻画数据的内在结构。实验表明，Δ较大的Δ等价类更加稳定，且该结构对数据采样不敏感，有助于发现对噪声和数据变化鲁棒的模式。,chess (krk),"一个包含28,056个对象和40个属性的二值化数据集，源自国际象棋棋局数据，用于模式挖掘和数据分析。"
-Closure_Structure_for_Studying_Data_Distribution.pdf,论文提出Δ-closure结构，用于研究二值数据集中闭合项集的分布和稳定性。通过引入Δ参数，扩展了传统的闭包操作符，使得能够量化闭合项集与其上邻之间的差异，并通过Δ等价类刻画数据的内在结构。实验表明，Δ较大的Δ等价类更加稳定，且该结构对数据采样不敏感，有助于发现对噪声和数据变化鲁棒的模式。,cylinder bands,一个包含540个对象和120个属性的二值化工业数据集，用于研究工业过程中带状结构的频繁模式。
-Closure_Structure_for_Studying_Data_Distribution.pdf,论文提出Δ-closure结构，用于研究二值数据集中闭合项集的分布和稳定性。通过引入Δ参数，扩展了传统的闭包操作符，使得能够量化闭合项集与其上邻之间的差异，并通过Δ等价类刻画数据的内在结构。实验表明，Δ较大的Δ等价类更加稳定，且该结构对数据采样不敏感，有助于发现对噪声和数据变化鲁棒的模式。,horse colic,一个包含368个对象和81个属性的医疗数据集，用于分析马疝气疾病的诊断模式。
-Closure_Structure_for_Studying_Data_Distribution.pdf,论文提出Δ-closure结构，用于研究二值数据集中闭合项集的分布和稳定性。通过引入Δ参数，扩展了传统的闭包操作符，使得能够量化闭合项集与其上邻之间的差异，并通过Δ等价类刻画数据的内在结构。实验表明，Δ较大的Δ等价类更加稳定，且该结构对数据采样不敏感，有助于发现对噪声和数据变化鲁棒的模式。,ionosphere,一个包含351个对象和155个属性的雷达数据集，用于电离层反射信号的分类与模式分析。
-Closure_Structure_for_Studying_Data_Distribution.pdf,论文提出Δ-closure结构，用于研究二值数据集中闭合项集的分布和稳定性。通过引入Δ参数，扩展了传统的闭包操作符，使得能够量化闭合项集与其上邻之间的差异，并通过Δ等价类刻画数据的内在结构。实验表明，Δ较大的Δ等价类更加稳定，且该结构对数据采样不敏感，有助于发现对噪声和数据变化鲁棒的模式。,mushroom,"一个包含8,124个对象和88个属性的二值化数据集，用于研究蘑菇种类的频繁模式和分类。"
-Closure_Structure_for_Studying_Data_Distribution.pdf,论文提出Δ-closure结构，用于研究二值数据集中闭合项集的分布和稳定性。通过引入Δ参数，扩展了传统的闭包操作符，使得能够量化闭合项集与其上邻之间的差异，并通过Δ等价类刻画数据的内在结构。实验表明，Δ较大的Δ等价类更加稳定，且该结构对数据采样不敏感，有助于发现对噪声和数据变化鲁棒的模式。,nursery,"一个包含12,960个对象和27个属性的数据集，源自幼儿园入学评估数据，用于模式挖掘和数据分析。"
-Closure_Structure_for_Studying_Data_Distribution.pdf,论文提出Δ-closure结构，用于研究二值数据集中闭合项集的分布和稳定性。通过引入Δ参数，扩展了传统的闭包操作符，使得能够量化闭合项集与其上邻之间的差异，并通过Δ等价类刻画数据的内在结构。实验表明，Δ较大的Δ等价类更加稳定，且该结构对数据采样不敏感，有助于发现对噪声和数据变化鲁棒的模式。,pen digits,"一个包含10,992个对象和76个属性的手写数字数据集，用于模式识别和频繁项集挖掘。"
-Closure_Structure_for_Studying_Data_Distribution.pdf,论文提出Δ-closure结构，用于研究二值数据集中闭合项集的分布和稳定性。通过引入Δ参数，扩展了传统的闭包操作符，使得能够量化闭合项集与其上邻之间的差异，并通过Δ等价类刻画数据的内在结构。实验表明，Δ较大的Δ等价类更加稳定，且该结构对数据采样不敏感，有助于发现对噪声和数据变化鲁棒的模式。,soybean,一个包含683个对象和99个属性的农业数据集，用于分析大豆疾病诊断中的频繁模式。
1-s2.0-S0020025518302718-main.pdf,论文提出了一种结合话题图谱（topic map）与社交影响（social influence）的个性化混合推荐系统，旨在缓解冷启动问题并提升模型可扩展性。该方法利用用户生成的评论提取特征，并通过本体（BabelNet）将特征映射为话题以降低维度；同时，结合用户之间的社交关系（信任、友谊、相似兴趣）构建社会影响力网络，利用 closeness centrality 衡量用户影响力，从而提升推荐质量。,Yelp Dataset Challenge,"该数据集包含3276个用户、1493个商家（每个商家至少有2个用户的评论）以及从2005年至2015年间发布的14,003条评论。该数据集具有高度稀疏性，平均每个用户评论数量（NRU）约为4，其中约40%的用户仅发表过1条评论。该数据集被广泛用于推荐系统研究，特别是在处理冷启动问题和社交影响建模方面。"
1-s2.0-S0020025518306972-main.pdf,"本文提出了一种基于四元数提升方案（Quaternion Lifting Scheme, LQLS）的运动数据分类方法，用于步态识别。该方法利用四元数表示骨骼旋转数据，通过多分辨率分析提取旋转特征，并设计适用于四元数属性的最近邻和最小距离分类器进行识别。该方法避免了欧拉角表示的奇异性问题，提升了步态识别的精度，在包含30人的数据集上实现了超过96%的识别准确率。",PJAIT Human Motion Dataset,该数据集包含30名男性受试者的436次步态试验数据，年龄范围为20至40岁。数据由波兰-日本信息科技学院（PJAIT）的人体运动实验室采集，使用Vicon动作捕捉系统，包含骨骼运动数据。数据集中定义了两种步态类型：快速和慢速步态。每个样本的运动序列在时间域上被线性归一化为128个时间点，用于基于步态的人体识别任务。
1-s2.0-S0020025519301537-main.pdf,tcc2vec 是一种基于RFM信息增强的动态图表示学习方法，用于电信客户流失预测。该方法通过在增强的通话图中引入RFM行为特征，并结合时间窗口机制建模图的动态演化，从而自动学习客户节点的低维表示。相比传统手工特征工程和静态图表示方法，tcc2vec 能更有效地融合结构信息与行为信息，并提升流失预测的准确性和可解释性。,Call Detail Records (CDR),这是电信领域常用的标准化数据集类型，用于记录用户的通话行为，包括主叫、被叫、时间和通话时长等信息。论文中使用了预付费（prepaid）和后付费（postpaid）两种CDR数据集，每种数据集包含四个月的通话记录，且根据时间粒度划分为月级（monthly）、双周级（bi-weekly）和周级（weekly）等不同层次。这些数据集广泛用于客户流失预测、社交网络分析和用户行为建模。
1-s2.0-S0020025519304268-main.pdf,"论文提出了一种基于利润意识的集成选择（Profit-Conscious Ensemble Selection, PCES）框架，用于营销决策支持。该方法结合统计学习原则与商业目标，通过集成选择机制最大化营销活动的利润。PCES 在模型开发早期阶段引入商业目标，优化模型组合以提升实际业务价值，相比传统方法（如逻辑回归、随机森林和遗传算法优化）在多个真实数据集上显著提高了营销活动的盈利能力。",UCI Machine Learning Repository,UCI机器学习知识库是一个广泛使用的标准化数据集集合，包含大量用于机器学习研究的数据集。论文中使用了多个来自UCI的营销相关数据集，例如UCI-Adult和UCI-Coil，用于客户响应建模和盈利能力评分任务。这些数据集具有明确的特征定义和标签，适用于分类和预测建模任务。
1-s2.0-S0020025519304268-main.pdf,"论文提出了一种基于利润意识的集成选择（Profit-Conscious Ensemble Selection, PCES）框架，用于营销决策支持。该方法结合统计学习原则与商业目标，通过集成选择机制最大化营销活动的利润。PCES 在模型开发早期阶段引入商业目标，优化模型组合以提升实际业务价值，相比传统方法（如逻辑回归、随机森林和遗传算法优化）在多个真实数据集上显著提高了营销活动的盈利能力。",Data Mining Cup (DMC),Data Mining Cup 是一个面向数据挖掘竞赛的标准化数据集来源，被广泛用于营销和客户行为预测研究。论文中使用了多个 DMC 数据集（如 DMC01、DMC02、DMC04、DMC05、DMC06、DMC10），这些数据集通常涉及客户响应建模、盈利能力评分和客户流失预测任务，具有较高的行业相关性和现实营销场景代表性。
